2018-01-10,274.1199951171875,SPY
2018-01-11,276.1199951171875,SPY
2018-01-12,277.9200134277344,SPY
2018-01-13,277.9200134277344,SPY
2018-01-14,277.9200134277344,SPY
2018-01-15,277.9200134277344,SPY
2018-01-16,276.9700012207031,SPY
2018-01-17,279.6099853515625,SPY
2018-01-18,279.1400146484375,SPY
2018-01-19,280.4100036621094,SPY
2018-01-20,280.4100036621094,SPY
2018-01-21,280.4100036621094,SPY
2018-01-22,282.69000244140625,SPY
2018-01-23,283.2900085449219,SPY
2018-01-24,283.17999267578125,SPY
2018-01-25,283.29998779296875,SPY
2018-01-26,286.5799865722656,SPY
2018-01-27,286.5799865722656,SPY
2018-01-28,286.5799865722656,SPY
2018-01-29,284.67999267578125,SPY
2018-01-30,281.760009765625,SPY
2018-01-31,281.8999938964844,SPY
2018-02-01,281.5799865722656,SPY
2018-02-02,275.45001220703125,SPY
2018-02-03,275.45001220703125,SPY
2018-02-04,275.45001220703125,SPY
2018-02-05,263.92999267578125,SPY
2018-02-06,269.1300048828125,SPY
2018-02-07,267.6700134277344,SPY
2018-02-08,257.6300048828125,SPY
2018-02-09,261.5,SPY
2018-02-10,261.5,SPY
2018-02-11,261.5,SPY
2018-02-12,265.3399963378906,SPY
2018-02-13,266.0,SPY
2018-02-14,269.5899963378906,SPY
2018-02-15,273.0299987792969,SPY
2018-02-16,273.1099853515625,SPY
2018-02-17,273.1099853515625,SPY
2018-02-18,273.1099853515625,SPY
2018-02-19,273.1099853515625,SPY
2018-02-20,271.3999938964844,SPY
2018-02-21,270.04998779296875,SPY
2018-02-22,270.3999938964844,SPY
2018-02-23,274.7099914550781,SPY
2018-02-24,274.7099914550781,SPY
2018-02-25,274.7099914550781,SPY
2018-02-26,277.8999938964844,SPY
2018-02-27,274.42999267578125,SPY
2018-02-28,271.6499938964844,SPY
2018-03-01,267.70001220703125,SPY
2018-03-02,269.0799865722656,SPY
2018-03-03,269.0799865722656,SPY
2018-03-04,269.0799865722656,SPY
2018-03-05,272.19000244140625,SPY
2018-03-06,272.8800048828125,SPY
2018-03-07,272.7799987792969,SPY
2018-03-08,274.1000061035156,SPY
2018-03-09,278.8699951171875,SPY
2018-03-10,278.8699951171875,SPY
2018-03-11,278.8699951171875,SPY
2018-03-12,278.5199890136719,SPY
2018-03-13,276.7200012207031,SPY
2018-03-14,275.29998779296875,SPY
2018-03-15,275.0,SPY
2018-03-16,274.20001220703125,SPY
2018-03-17,274.20001220703125,SPY
2018-03-18,274.20001220703125,SPY
2018-03-19,270.489990234375,SPY
2018-03-20,270.95001220703125,SPY
2018-03-21,270.42999267578125,SPY
2018-03-22,263.6700134277344,SPY
2018-03-23,258.04998779296875,SPY
2018-03-24,258.04998779296875,SPY
2018-03-25,258.04998779296875,SPY
2018-03-26,265.1099853515625,SPY
2018-03-27,260.6000061035156,SPY
2018-03-28,259.8299865722656,SPY
2018-03-29,263.1499938964844,SPY
2018-03-30,263.1499938964844,SPY
2018-03-31,263.1499938964844,SPY
2018-04-01,263.1499938964844,SPY
2018-04-02,257.4700012207031,SPY
2018-04-03,260.7699890136719,SPY
2018-04-04,263.5599975585937,SPY
2018-04-05,265.6400146484375,SPY
2018-04-06,259.7200012207031,SPY
2018-04-07,259.7200012207031,SPY
2018-04-08,259.7200012207031,SPY
2018-04-09,261.0,SPY
2018-04-10,265.1499938964844,SPY
2018-04-11,263.760009765625,SPY
2018-04-12,265.92999267578125,SPY
2018-04-13,265.1499938964844,SPY
2018-04-14,265.1499938964844,SPY
2018-04-15,265.1499938964844,SPY
2018-04-16,267.3299865722656,SPY
2018-04-17,270.19000244140625,SPY
2018-04-18,270.3900146484375,SPY
2018-04-19,268.8900146484375,SPY
2018-04-20,266.6099853515625,SPY
2018-04-21,266.6099853515625,SPY
2018-04-22,266.6099853515625,SPY
2018-04-23,266.57000732421875,SPY
2018-04-24,262.9800109863281,SPY
2018-04-25,263.6300048828125,SPY
2018-04-26,266.3099975585937,SPY
2018-04-27,266.5599975585937,SPY
2018-04-28,266.5599975585937,SPY
2018-04-29,266.5599975585937,SPY
2018-04-30,264.510009765625,SPY
2018-05-01,264.9800109863281,SPY
2018-05-02,263.20001220703125,SPY
2018-05-03,262.6199951171875,SPY
2018-05-04,266.0199890136719,SPY
2018-05-05,266.0199890136719,SPY
2018-05-06,266.0199890136719,SPY
2018-05-07,266.9200134277344,SPY
2018-05-08,266.9200134277344,SPY
2018-05-09,269.5,SPY
2018-05-10,272.0199890136719,SPY
2018-05-11,272.8500061035156,SPY
2018-05-12,272.8500061035156,SPY
2018-05-13,272.8500061035156,SPY
2018-05-14,272.9800109863281,SPY
2018-05-15,271.1000061035156,SPY
2018-05-16,272.239990234375,SPY
2018-05-17,272.010009765625,SPY
2018-05-18,271.3299865722656,SPY
2018-05-19,271.3299865722656,SPY
2018-05-20,271.3299865722656,SPY
2018-05-21,273.3699951171875,SPY
2018-05-22,272.6099853515625,SPY
2018-05-23,273.3599853515625,SPY
2018-05-24,272.79998779296875,SPY
2018-05-25,272.1499938964844,SPY
2018-05-26,272.1499938964844,SPY
2018-05-27,272.1499938964844,SPY
2018-05-28,272.1499938964844,SPY
2018-05-29,269.0199890136719,SPY
2018-05-30,272.6099853515625,SPY
2018-05-31,270.94000244140625,SPY
2018-06-01,273.6000061035156,SPY
2018-06-02,273.6000061035156,SPY
2018-06-03,273.6000061035156,SPY
2018-06-04,274.8999938964844,SPY
2018-06-05,275.1000061035156,SPY
2018-06-06,277.3999938964844,SPY
2018-06-07,277.3699951171875,SPY
